Date,Jump around on waking up,Meditate,Write 750 words,Pushup(s),Exercise,Floss,Socialize with friends,Sleep by Midnight,Sleep at least 7 hours,Send a postcard,Call mom/dad,Stretch in the morning,Work on podcast,*All daily habits,Daily debrief,Situps,Put clothes away
2013-01-01,1,1,1,1, ,1,1, ,1, ,1, , , ,1, , 
2013-01-02, ,1,1,1, ,1, , , , ,1, , , , , , 
2013-01-03, ,1,1,1, ,1, , , , ,1, , , , , , 
2013-01-04, ,1,1, , ,1,1, , ,1,1, , , , , , 
2013-01-05,1,1,1, , ,1,1, , , , , , , , , , 
2013-01-06, ,1,1, , ,1, , , , , , , , , , , 
2013-01-07, ,1,1, , ,1, , , , ,1, , , , , , 
2013-01-08, , , , , , , , , , , , , , , , , 
2013-01-09, , , , , , ,1, , , , , , , , , , 
2013-01-10, , , , , , ,1, , , , , , , , , , 
2013-01-11, , , , , , ,1, , , , , , , , , , 
2013-01-12, , , , , , ,1, , , , , , , , , , 
2013-01-13, , , , , , , , , , ,1, , , , , , 
2013-01-14, , , , , , ,1, , , ,1, , , , , , 
2013-01-15, , , , , , , , , , ,1, , , , , , 
2013-01-16, , , , , , , , , , ,1, , , , , , 
2013-01-17, , , , , , ,1, , , , , , , , , , 
2013-01-18, , , , , , , , , , , , ,1, , , , 
2013-01-19, , , , ,1,1,1,1, , , , , , , , , 
2013-01-20, , , , , , , , , , , , , , , , , 
2013-01-21, , , ,1, , , , , , , , , , , , , 
2013-01-22, , , ,1, , , , , , ,1,1, , , , , 
2013-01-23, , , , , , , , , , , , ,1, , , , 
2013-01-24, , , , , , , , , , ,1, , , , , , 
2013-01-25, , , , , , , , , , , , , , , , , 
2013-01-26, , , , , , , , , , , , , , , , , 
2013-01-27, , , , , , , , , , , , , , , , , 
2013-01-28, , , , , , , , , , , , , , , , , 
2013-01-29, , , , , , , , , , , , , , , , , 
2013-01-30, , , , , , , , , , , , , , , , , 
2013-01-31, , , , , , , , , , , , , , , , , 
